	Track	Track_Popularity	Artist_Popularity
876	Alone Again (Naturally)	53	55
877	American Pie	72	65
878	Without You	58	59
879	The Candy Man	39	54
880	I Gotcha	40	0
881	Lean on Me	67	71
882	Baby, Don't Get Hooked on Me	44	38
883	Brand New Key	52	73
884	Daddy Don't You Walk So Fast	30	45
885	Brandy (You're a Fine Girl)	71	59
886	Oh Girl	49	48
887	Nice to Be with You	36	29
888	My Ding-a-Ling	39	68
889	(If Loving You Is Wrong) I Don't Want to Be Right	46	35
890	Heart of Gold	69	72
891	Betcha by Golly, Wow	47	56
892	Ben	53	86
893	The Lion Sleeps Tonight	22	50
894	Outa-Space	36	49
895	Slippin' Into Darkness	44	73
896	Long Cool Woman in a Black Dress	61	63
897	How Do You Do	40	31
898	Song Sung Blue	51	69
899	A Horse with No Name	75	70
900	Popcorn	38	28
901	Everybody Plays the Fool	51	44
902	Precious and Few	36	44
903	(Last Night) I Didn't Get to Sleep at All	35	50
904	Nights in White Satin	65	61
905	Go All the Way	64	51
906	Too Late to Turn Back Now	55	44
907	Back Stabbers	59	61
908	Down by the Lazy River	26	38
909	Sunshine	45	37
910	Starting All Over Again	43	38
911	Day After Day	54	56
912	Rockin' Robin	53	86
913	Beautiful Sunday	44	34
914	Scorpio	32	27
915	Morning Has Broken	63	71
916	City of New Orleans	50	45
917	Garden Party	43	56
918	I Can See Clearly Now	64	55
919	Burning Love	68	79
920	Clean Up Woman	59	53
921	Hold Your Head Up	38	35
922	Jungle Fever	39	33
923	Everything I Own	66	63
924	In the Rain	47	53
925	Look What You Done for Me	43	68
926	The Happiest Girl in the Whole U.S.A.	34	32
927	Get It On	59	62
928	Mother and Child Reunion	51	71
929	Where Is the Love	22	0
930	Layla	72	62
931	Day Dreaming	52	75
932	The Way of Love	28	74
933	Black and White	38	60
934	Hurting Each Other	2	4
935	Coconut	52	59
936	Puppy Love	36	61
937	You Don't Mess Around with Jim	51	64
938	Hot Rod Lincoln	42	34
939	A Cowboy's Work Is Never Done	26	55
940	Joy	40	28
941	Anticipation	40	64
942	Never Been to Spain	52	60
943	Kiss an Angel Good Mornin'	48	52
944	School's Out	2	65
945	Saturday in the Park	60	67
946	Drowning in the Sea of Love	50	41
947	Use Me	60	71
948	Family Affair	47	63
949	Troglodyte (Cave Man)	26	34
950	The Witch Queen of New Orleans	40	62
951	Power of Love	19	41
952	Taxi	41	54
953	Sealed with a Kiss	60	58
954	I Saw the Light	51	55
955	Motorcycle Mama	18	10
956	Roundabout	62	63
957	Doctor My Eyes	62	65
958	Vincent	63	65
959	Baby Let Me Take You (In My Arms)	45	40
960	Speak to the Sky	17	63
961	Walkin' in the Rain with the One I Love	23	46
962	Get on the Good Foot	36	67
963	Pop That Thang	26	66
964	Bad, Bad Leroy Brown	53	64
965	Killing Me Softly with His Song	71	64
966	Why Me	36	57
967	Crocodile Rock	65	81
968	Will It Go Round in Circles	41	49
969	Touch Me in the Morning	49	67
970	The Night the Lights Went Out in Georgia	36	26
971	Playground in My Mind	24	17
972	Brother Louie	37	51
973	Delta Dawn	35	46
974	Me and Mrs. Jones	61	55
975	Frankenstein	54	50
976	Drift Away	54	49
977	Little Willy	43	57
978	You Are the Sunshine of My Life	63	78
979	Half-Breed	40	74
980	That Lady	56	66
981	Pillow Talk	33	46
982	Right Place Wrong Time	57	57
983	Wildflower	33	26
984	Superstition	66	78
985	Loves Me Like a Rock	46	71
986	The Morning After	38	34
987	Rocky Mountain High	60	72
988	Stuck in the Middle with You	68	61
989	Shambala	52	60
990	Love Train	65	61
991	Say, Has Anybody Seen My Sweet Gypsy Rose	19	45
992	Keep on Truckin'	35	48
993	Dancing in the Moonlight	65	54
994	Monster Mash	65	54
995	Natural High	48	39
996	Diamond Girl	44	61
997	Long Train Runnin'	70	69
998	Give Me Love (Give Me Peace on Earth)	59	70
999	If You Want Me to Stay	60	63
1000	Neither One of Us (Wants to Be the First to Say Goodbye)	56	61
1001	Could It Be I'm Falling in Love	57	62
1002	Daniel	61	81
1003	Midnight Train to Georgia	60	61
1004	Smoke on the Water	62	69
1005	The Cover of the Rolling Stone	52	59
1006	Behind Closed Doors	48	49
1007	Your Mama Don't Dance	45	55
1008	Feelin' Stronger Every Day	42	67
1009	The Cisco Kid	47	73
1010	Live and Let Die	44	0
1011	Oh, Babe, What Would You Say?	26	26
1012	I Believe in You (You Believe in Me)	36	48
1013	Sing	2	4
1014	Higher Ground	62	78
1015	Here I Am (Come and Take Me)	54	68
1016	My Maria	39	29
1017	Superfly	53	62
1018	Last Song	29	23
1019	Get Down	29	55
1020	Reelin' in the Years	66	69
1021	Hocus Pocus	51	59
1022	Yesterday Once More	3	4
1023	Boogie Woogie Bugle Boy	36	58
1024	Clair	35	55
1025	Do It Again	68	69
1026	Kodachrome	54	71
1027	Why Can't We Live Together	46	46
1028	Do You Wanna Dance?	9	58
1029	So Very Hard to Go	45	53
1030	Rockin' Pneumonia and the Boogie Woogie Flu	35	46
1031	Ramblin' Man	68	67
1032	Masterpiece	46	70
1033	Peaceful	22	46
1034	One of a Kind (Love Affair)	40	62
1035	Funny Face	27	32
1036	Funky Worm	44	55
1037	Angie	34	81
1038	Break Up to Make Up	45	56
1039	Also Sprach Zarathustra (2001)	16	45
1040	Stir It Up	24	55
1041	Money	72	83
1042	Gypsy Man	22	73
1043	The World Is a Ghetto	31	73
1044	Yes We Can Can	38	65
1045	Free Ride	57	50
1046	Space Oddity	71	82
1047	It Never Rains in Southern California	60	56
1048	The Twelfth of Never	22	61
1049	Papa Was a Rollin' Stone	64	70
1050	The Way We Were	52	68
1051	Seasons in the Sun	49	46
1052	Come and Get Your Love	71	62
1053	Dancing Machine	55	73
1054	The Loco-Motion	42	56
1055	TSOP (The Sound of Philadelphia)	32	45
1056	The Streak	34	41
1057	Bennie and the Jets	67	81
1058	One Hell of a Woman	22	38
1059	Until You Come Back to Me (That's What I'm Gonna Do)	42	75
1060	Jungle Boogie	61	66
1061	Midnight at the Oasis	40	38
1062	You Make Me Feel Brand New	56	56
1063	Show and Tell	46	44
1064	Spiders and Snakes	32	30
1065	Rock On	43	42
1066	Sunshine on My Shoulders	52	72
1067	Sideshow	46	42
1068	Hooked on a Feeling	75	63
1069	Billy Don't Be a Hero	33	23
1070	The Most Beautiful Girl	50	49
1071	Time in a Bottle	57	64
1072	Let Me Be There	36	68
1073	Sundown	61	60
1074	Rock Me Gently	51	40
1075	Boogie Down	41	48
1076	You're Sixteen	45	51
1077	If You Love Me (Let Me Know)	28	68
1078	Dark Lady	38	74
1079	Best Thing That Ever Happened to Me	45	61
1080	Feel Like Makin' Love	62	64
1081	Just Don't Want to Be Lonely	40	44
1082	Nothing from Nothing	42	49
1083	Rock Your Baby	51	52
1084	Top of the World	3	4
1085	The Joker	73	68
1086	The Show Must Go On	39	60
1087	Rock the Boat	47	39
1088	Smokin' in the Boys Room	38	30
1089	Living for the City	46	78
1090	The Night Chicago Died	48	38
1091	The Entertainer	35	39
1092	Waterloo	57	79
1093	The Air That I Breathe	61	63
1094	Rikki Don't Lose That Number	60	69
1095	Help Me	50	66
1096	You Won't See Me	27	56
1097	Never, Never Gonna Give You Up	27	67
1098	Tell Me Something Good	52	47
1099	You and Me Against the World	34	46
1100	Rock and Roll Heaven	35	61
1101	Hollywood Swinging	52	66
1102	Be Thankful for What You Got	39	47
1103	Hang on in There Baby	44	41
1104	Eres tú	53	56
1105	Takin' Care of Business	63	60
1106	Radar Love	61	57
1107	Please Come to Boston	43	34
1108	Keep on Smilin'	42	34
1109	Lookin' for a Love	32	61
1110	Put Your Hands Together	24	61
1111	On and On	28	61
1112	Oh Very Young	49	71
1113	Leave Me Alone (Ruby Red Dress)	23	46
1114	Goodbye Yellow Brick Road	62	81
1115	Oh My My	27	51
1116	For the Love of Money	51	61
1117	I Shot the Sheriff	60	75
1118	Tubular Bells	47	60
1119	A Love Song	31	56
1120	Hello It's Me	48	55
1121	I Love	36	51
1122	The Lord's Prayer	13	9
1123	Trying To Hold On To My Woman	22	31
1124	A Very Special Love Song	27	49
1125	My Girl Bill	20	30
1126	My Mistake (Was to Love You)	40	0
1127	Wildwood Weed	35	30
1128	Beach Baby	15	7
1129	Me and Baby Brother	32	73
1130	Rockin' Roll Baby	23	56
1131	I Honestly Love You	44	68
1132	Call on Me	41	67
1133	Wild Thing	11	50
1134	Mighty Love	33	62
1135	Silly Love Songs	56	64
1136	Disco Lady	35	48
1137	Play That Funky Music	66	56
1138	Kiss and Say Goodbye	52	52
1139	Love Machine	37	61
1140	50 Ways to Leave Your Lover	65	71
1141	Love Is Alive	47	45
1142	Sara Smile	64	75
1143	Afternoon Delight	54	45
1144	I Write the Songs	49	63
1145	Fly, Robin, Fly	43	38
1146	Love Hangover	46	67
1147	Get Closer	56	61
1148	More, More, More	46	38
1149	Bohemian Rhapsody	81	96
1150	Misty Blue	49	38
1151	Boogie Fever	39	30
1152	You Sexy Thing	71	61
1153	Love Hurts	56	60
1154	Get Up and Boogie	33	38
1155	Take It to the Limit	37	78
1156	(Shake, Shake, Shake) Shake Your Booty	51	64
1157	Sweet Love	35	66
1158	Right Back Where We Started From	48	41
1159	Theme from S.W.A.T.	33	24
1160	Love Rollercoaster	42	55
1161	You Should Be Dancing	67	76
1162	Golden Years	58	82
1163	Moonlight Feels Right	44	34
1164	Only Sixteen	39	59
1165	Let Your Love Flow	63	57
1166	Dream Weaver	54	45
1167	Turn the Beat Around	44	39
1168	Lonely Night (Angel Face)	18	53
1169	All by Myself	57	62
1170	Love to Love You Baby	40	64
1171	Deep Purple	14	24
1172	Theme from Mahogany (Do You Know Where You're Going To)	41	67
1173	Sweet Thing	50	73
1174	A Little Bit More	33	59
1175	Shannon	39	27
1176	If You Leave Me Now	71	67
1177	Lowdown	58	62
1178	Show Me the Way	63	60
1179	Dream On	77	78
1180	I Love Music	53	61
1181	Say You Love Me	33	81
1182	Times of Your Life	37	63
1183	Devil Woman	56	57
1184	Fooled Around and Fell in Love	58	54
1185	Welcome Back	40	36
1186	Sing a Song	55	75
1187	Heaven Must Be Missing an Angel	50	53
1188	Rock and Roll Music	30	74
1189	Shop Around	25	53
1190	Saturday Night	42	47
1191	Island Girl	38	81
1192	Let 'Em In	49	64
1193	This Masquerade	49	66
1194	Evil Woman	62	73
1195	Wham Bam	66	62
1196	Wake Up Everybody	57	58
1197	Summer	33	73
1198	Let Her In	27	67
1199	Fox on the Run	56	57
1200	Rhiannon	68	81
1201	Got to Get You into My Life	59	88
1202	Fanny (Be Tender with My Love)	49	76
1203	Getaway	51	75
1204	Still the One	49	50
1205	You're My Best Friend	43	96
1206	With Your Love	39	52
1207	Slow Ride	66	57
1208	The Boys Are Back in Town	72	65
1209	Walk Away from Love	34	44
1210	Baby, I Love Your Way (Live)	63	60
1211	Young Hearts Run Free	60	53
1212	Breaking Up Is Hard to Do	48	57
1213	Money Honey	18	47
1214	Give Up the Funk (Tear the Roof off the Sucker)	62	58
1215	Junk Food Junkie	18	39
1216	Tryin' to Get the Feeling Again	36	63
1217	Rock and Roll All Nite	73	73
1218	Take the Money and Run	64	68
1219	Squeeze Box	44	72
1220	Country Boy (You Got Your Feet in L.A.)	33	62
1221	I Just Want to Be Your Everything	58	52
1222	Best of My Love	65	63
1223	Evergreen (Love Theme from A Star Is Born)	62	68
1224	Angel in Your Arms	20	85
1225	I Like Dreamin'	30	31
1226	Don't Leave Me This Way	22	48
1227	(Your Love Has Lifted Me) Higher and Higher	33	44
1228	Undercover Angel	24	22
1229	Torn Between Two Lovers	41	43
1230	Dancing Queen	71	79
1231	You Make Me Feel Like Dancing	48	57
1232	Margaritaville	58	66
1233	Telephone Line	61	73
1234	Whatcha Gonna Do?	42	42
1235	Do You Wanna Make Love	14	13
1236	Sir Duke	70	78
1237	Hotel California	81	78
1238	Got to Give It Up	59	75
1239	Southern Nights	68	62
1240	Rich Girl	70	75
1241	When I Need You	48	57
1242	Hot Line	28	30
1243	Car Wash	49	54
1244	Fly Like an Eagle	65	68
1245	On and On	57	51
1246	Feels Like the First Time	52	70
1247	Easy	74	66
1248	Right Time of the Night	34	63
1249	Blinded by the Light	61	58
1250	Looks Like We Made It	46	63
1251	So in to You	33	52
1252	Dreams	78	81
1253	Enjoy Yourself	50	64
1254	Dazz	49	57
1255	Lucille	48	67
1256	The Things We Do for Love	64	64
1257	Da Doo Ron Ron	33	31
1258	Handy Man	50	70
1259	Just a Song Before I Go	41	64
1260	You and Me	37	65
1261	Lonely Boy	48	52
1262	I Wish	61	78
1263	Barracuda	71	71
1264	Strawberry Letter 23	64	57
1265	Night Moves	68	68
1266	Heard It in a Love Song	54	60
1267	Carry On Wayward Son	73	69
1268	New Kid in Town	62	78
1269	My Heart Belongs to Me	34	68
1270	After the Lovin'	39	58
1271	Jet Airliner	61	68
1272	Stand Tall	35	36
1273	Way Down	48	79
1274	Weekend in New England	45	63
1275	It Was Almost Like a Song	36	52
1276	Smoke from a Distant Fire	43	31
1277	Cold as Ice	64	70
1278	Ariel	35	30
1279	Lost Without Your Love	47	63
1280	Star Wars Theme/Cantina Band	26	28
1281	Float On	47	39
1282	Lido Shuffle	62	62
1283	Keep It Comin' Love	48	64
1284	You Made Me Believe in Magic	22	47
1285	Livin' Thing	67	73
1286	Give a Little Bit	71	70
1287	That's Rock 'n' Roll	5	31
1288	Love So Right	50	76
1289	The Rubberband Man	64	62
1290	I Never Cry	43	65
1291	Nobody Does It Better	58	64
1292	High School Dance	18	30
1293	I Wanna Get Next to You	48	54
1294	Somebody to Love	75	96
1295	Muskrat Love	33	53
1296	Walk This Way	69	78
1297	Cherchez La Femme	39	34
1298	Year of the Cat	52	52
1299	Boogie Nights	56	52
1300	Go Your Own Way	71	81
1301	Sorry Seems to Be the Hardest Word	47	81
1302	Knowing Me, Knowing You	52	79
1303	How Much Love	19	57
1304	Shadow Dancing	44	52
1305	Night Fever	77	76
1306	You Light Up My Life	53	41
1307	Stayin' Alive	77	76
1308	Kiss You All Over	55	50
1309	How Deep Is Your Love	66	76
1310	Baby Come Back	22	53
1311	(Love Is) Thicker Than Water	37	52
1312	Boogie Oogie Oogie	50	43
1313	Three Times a Lady	47	66
1314	Grease	62	64
1315	I Go Crazy	57	48
1316	Emotion	53	40
1317	Lay Down Sally	58	75
1318	Miss You	31	81
1319	Just the Way You Are	64	77
1320	With a Little Luck	47	64
1321	If I Can't Have You	50	50
1322	Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)	38	68
1323	Feels So Good	47	44
1324	Hot Child in the City	52	39
1325	Love Is Like Oxygen	34	57
1326	We Will Rock You/We Are the Champions	37	96
1327	Baker Street	66	59
1328	Dance With Me	31	31
1329	Two Out of Three Ain't Bad	58	64
1330	Jack And Jill	44	44
1331	Take a Chance on Me	61	79
1332	Sometimes When We Touch	52	48
1333	Last Dance	59	64
1334	Hopelessly Devoted to You	52	68
1335	Hot Blooded	60	70
1336	Dust in the Wind	75	69
1337	Magnet and Steel	47	37
1338	Short People	44	63
1339	Use ta Be My Girl	49	61
1340	Our Love	57	65
1341	Love Will Find a Way	48	42
1342	An Everlasting Love	43	52
1343	Love Is in the Air	60	49
1344	Goodbye Girl	51	42
1345	Slip Slidin' Away	53	71
1346	The Groove Line	47	52
1347	Thunder Island	43	31
1348	Imaginary Lover	35	52
1349	Still the Same	62	68
1350	My Angel Baby	20	0
1351	Disco Inferno	63	55
1352	On Broadway	52	66
1353	Come Sail Away	62	64
1354	(Every Time I Turn Around) Back in Love Again	41	46
1355	This Time I'm in It for Love	34	53
1356	You Belong to Me	25	64
1357	Here You Come Again	59	71
1358	Blue Bayou	61	61
1359	Peg	56	69
1360	You Needed Me	55	56
1361	Shame	50	54
1362	Reminiscing	65	62
1363	Count On Me	46	52
1364	Baby Hold On	55	60
1365	Hey Deanie	23	31
1366	What's Your Name	20	74
1367	Because the Night	57	59
1368	Every Kinda People	53	60
1369	Copacabana	56	63
1370	Always and Forever	54	52
1371	You and I	38	62
1372	Serpentine Fire	45	75
1373	Sentimental Lady	47	40
1374	Falling	21	11
1375	Don't Let Me Be Misunderstood	1	46
1376	Bluer Than Blue	51	46
1377	Running on Empty	67	65
1378	Fool (If You Think It's Over)	32	64
1379	Get Off	39	60
1380	Sweet Talkin' Woman	57	73
1381	I Love the Nightlife	40	38
1382	You Can't Turn Me Off (In The Middle Of Turning Me On)	18	14
1383	Native New Yorker	38	51
1384	Flash Light	62	58
1385	Turn to Stone	62	73
1386	I Can't Stand the Rain	42	42
1387	Ebony Eyes	43	40
1388	The Name of the Game	45	79
1389	Hollywood Nights	58	68
1390	Deacon Blues	56	69
1391	My Sharona	72	60
1392	Bad Girls	57	64
1393	Le Freak	67	68
1394	Da Ya Think I'm Sexy?	65	74
1395	Reunited	47	45
1396	I Will Survive	66	65
1397	Hot Stuff	63	64
1398	Y.M.C.A.	59	61
1399	Ring My Bell	57	47
1400	Sad Eyes	50	50
1401	Too Much Heaven	63	76
1402	MacArthur Park	40	64
1403	When You're in Love with a Beautiful Woman	58	59
1404	Makin' It	27	18
1405	Fire	54	65
1406	Tragedy	63	76
1407	A Little More Love	32	68
1408	Heart of Glass	60	69
1409	What a Fool Believes	64	69
1410	Good Times	66	68
1411	Knock on Wood	56	48
1412	Lead Me On	31	41
1413	Shake Your Body (Down to the Ground)	59	64
1414	The Logical Song	70	70
1415	My Life	56	77
1416	Just When I Needed You Most	56	44
1417	You Can't Change That	46	44
1418	Shake Your Groove Thing	49	45
1419	I'll Never Love This Way Again	23	63
1420	Love You Inside Out	51	76
1421	I Want You to Want Me	65	64
1422	The Main Event/Fight	28	68
1423	Mama Can't Buy You Love	37	81
1424	I Was Made for Dancin'	40	34
1425	After the Love Has Gone	61	75
1426	Heaven Knows	36	0
1427	The Gambler	68	67
1428	Lotta Love	49	41
1429	Lady	58	62
1430	Heaven Must Have Sent You	41	33
1431	Hold the Line	74	76
1432	Sharing the Night Together	57	59
1433	She Believes in Me	54	67
1434	In the Navy	32	61
1435	Music Box Dancer	37	30
1436	The Devil Went Down to Georgia	62	60
1437	Gold	42	31
1438	Goodnight Tonight	36	64
1439	We Are Family	67	62
1440	Rock 'n' Roll Fantasy	51	62
1441	Every 1's a Winner	56	61
1442	Take Me Home	39	74
1443	Boogie Wonderland	71	0
1444	(Our Love) Don't Throw It All Away	42	52
1445	What You Won't Do for Love	63	56
1446	New York Groove	55	49
1447	Sultans of Swing	65	76
1448	I Want Your Love	58	68
1449	Chuck E.'s In Love	16	46
1450	I Love the Nightlife	40	38
1451	Lonesome Loser	62	62
1452	Renegade	64	64
1453	Love Is the Answer	44	16
1454	Got to Be Real	61	53
1455	Born to Be Alive	63	50
1456	Shine a Little Love	48	73
1457	I Just Fall in Love Again	43	56
1458	Shake It	32	28
1459	I Was Made for Lovin' You	76	73
1460	I Just Wanna Stop	48	47
1461	September	80	75
1462	Time Passages	42	52
1463	Rise	46	51
1464	Promises	46	75
1465	Get Used to It	32	21
1466	How Much I Feel	60	56
1467	Suspicions	34	51
1468	You Take My Breath Away	39	38
1469	How You Gonna See Me Now	43	65
1470	Double Vision	52	70
1471	Everytime I Think of You	32	48
1472	I Got My Mind Made Up (You Can Get It Girl)	42	33
1473	Bad Case of Loving You (Doctor, Doctor)	43	60
1474	Somewhere in the Night	35	63
1475	Dance the Night Away	57	73
1476	Dancin' Shoes	29	18
1477	The Boss	54	67
1478	Sail On	42	66
1479	I Do Love You	28	42
1480	Strange Way	37	44
1481	Call Me	63	69
1482	Magic	38	68
1483	Rock with You	74	86
1484	Do That to Me One More Time	60	53
1485	Crazy Little Thing Called Love	68	96
1486	Coming Up	45	76
1487	Funkytown	43	57
1488	The Rose	62	58
1489	Escape (The Piña Colada Song)	68	62
1490	Cars	63	56
1491	Cruisin	53	61
1492	Working My Way Back to You/Forgive Me, Girl	48	62
1493	Lost in Love	58	70
1494	Little Jeannie	38	81
1495	Ride Like the Wind	61	63
1496	Upside Down	53	67
1497	Please Don't Go	44	64
1498	Babe	60	64
1499	Shining Star	50	52
1500	Still	35	66
1501	Yes, I'm Ready	28	0
1502	Sexy Eyes	56	59
1503	Steal Away	50	43
1504	Biggest Part of Me	62	56
1505	This Is It	51	69
1506	Let's Get Serious	6	49
1507	Sailing	64	63
1508	Longer	55	55
1509	Coward of the County	56	67
1510	Ladies' Night	50	66
1511	Too Hot	38	66
1512	Take Your Time (Do It Right)	50	50
1513	More Love	36	62
1514	Pop Muzik	47	96
1515	Brass in Pocket	0	26
1516	Special Lady	37	32
1517	Send One Your Love	29	78
1518	The Second Time Around	41	53
1519	We Don't Talk Anymore	48	57
1520	Stomp!	61	57
1521	Heartache Tonight	57	78
1522	Tired of Toein' the Line	45	33
1523	Better Love Next Time	37	59
1524	Him	40	62
1525	Against the Wind	60	68
1526	On the Radio	50	64
1527	Emotional Rescue	53	81
1528	Rise	46	51
1529	All Out of Love	65	70
1530	Cool Change	57	62
1531	Let My Love Open the Door	54	49
1532	Daydream Believer	38	56
1533	I Can't Tell You Why	59	78
1534	Fame	64	62
1535	Fire Lake	48	68
1536	How Do I Make You	30	61
1537	Into the Night	47	39
1538	Let Me Love You Tonight	40	48
1539	Misunderstanding	45	68
1540	One Fine Day	39	65
1541	Dim All the Lights	42	64
1542	You May Be Right	55	77
1543	Pilot of the Airwaves	18	21
1544	Hurt So Bad	32	61
1545	Off the Wall	62	86
1546	I Pledge My Love	27	45
1547	The Long Run	54	78
1548	Stand by Me	46	44
1549	Heartbreaker	55	64
1550	Déjà Vu	37	63
1551	Drivin' My Life Away	53	51
1552	Take the Long Way Home	63	70
1553	Sara	42	81
1554	Wait for Me	38	75
1555	Jojo	53	62
1556	September Morn	53	69
1557	Give Me the Night	57	66
1558	Broken Hearted Me	44	56
1559	You Decorated My Life	52	67
1560	Tusk	42	81
1561	I Wanna Be Your Lover	61	82
1562	In America	35	60
1563	Breakdown Dead Ahead	32	62
1564	Ships	35	63
1565	Refugee	57	71
1566	Bette Davis Eyes	73	62
1567	Lady	54	67
1568	(Just Like) Starting Over	46	72
1569	Celebration	60	66
1570	Kiss on My List	58	75
1571	I Love a Rainy Night	55	51
1572	9 To 5	73	71
1573	Keep on Loving You	69	66
1574	Morning Train (Nine to Five)	48	55
1575	Being with You	51	61
1576	Queen of Hearts	50	50
1577	Rapture	49	69
1578	The Tide Is High	49	69
1579	Slow Hand	45	65
1580	I Love You	46	44
1581	Woman	70	72
1582	Sukiyaki	32	43
1583	The Winner Takes It All	60	79
1584	Stars on 45 Medley	42	43
1585	Angel of the Morning	56	50
1586	Love on the Rocks	46	69
1587	Every Woman in the World	54	70
1588	The One That You Love	61	70
1589	Guilty	20	9
1590	The Best of Times	50	64
1591	Elvira	54	52
1592	Take It on the Run	61	66
1593	Living Inside Myself	42	47
1594	Woman in Love	65	68
1595	Urgent	56	70
1596	Passion	35	74
1597	Lady (You Bring Me Up)	43	66
1598	Crying	41	65
1599	Hearts	44	33
1600	You Make My Dreams	78	75
1601	I Don't Need You	37	67
1602	How 'Bout Us	41	37
1603	Hit Me with Your Best Shot	63	64
1604	The Breakup Song (They Don't Write 'Em)	27	43
1605	Time	50	62
1606	Hungry Heart	67	76
1607	Sweetheart	35	24
1608	More Than I Can Say	56	57
1609	Together	42	59
1610	Too Much Time on My Hands	53	64
1611	De Do Do Do, De Da Da Da	49	76
1612	This Little Girl	36	32
1613	Stop Draggin' My Heart Around	56	0
1614	Giving It Up for Your Love	28	42
1615	A Little in Love	25	57
1616	America	49	69
1617	Another One Bites the Dust	77	96
1618	Games People Play	52	62
1619	I Can't Stand It	28	75
1620	While You See a Chance	57	63
1621	Master Blaster (Jammin')	45	78
1622	Hello Again	48	69
1623	Hey Nineteen	58	69
1624	I Ain't Gonna Stand for It	27	78
1625	All Those Years Ago	52	70
1626	Step By Step	41	51
1627	The Stroke	62	58
1628	Feels So Right	40	64
1629	Same Old Lang Syne	45	55
1630	Cool Love	29	42
1631	Hold On Tight	54	73
1632	Treat Me Right	39	64
1633	Winning	45	72
1634	Watching the Wheels	59	72
1635	Tell It Like It Is	33	71
1636	Smoky Mountain Rain	47	52
1637	I Made It Through the Rain	41	63
1638	For Your Eyes Only	48	55
1639	The Beach Boys Medley	16	74
1640	Whip It	65	57
1641	Modern Girl	25	55
1642	Seven Year Ache	47	52
1643	Miss Sun	35	62
1644	Time Is Time	25	52
1645	Physical	56	68
1646	Eye of the Tiger	77	69
1647	I Love Rock 'n Roll	67	61
1648	Centerfold	70	59
1649	Jack & Diane	69	66
1650	Hurts So Good	66	66
1651	Abracadabra	53	68
1652	Hard to Say I'm Sorry	67	67
1653	Tainted Love	66	64
1654	Chariots of Fire	58	61
1655	Harden My Heart	40	37
1656	Rosanna	68	76
1657	I Can't Go for That (No Can Do)	61	75
1658	867-5309/Jenny	56	47
1659	Key Largo	39	38
1660	You Should Hear How She Talks About You	34	46
1661	Waiting for a Girl Like You	68	70
1662	The Sweetest Thing (I've Ever Known)	35	50
1663	Always on My Mind	59	70
1664	Shake It Up	48	67
1665	Let It Whip	54	45
1666	We Got the Beat	50	52
1667	The Other Woman	7	62
1668	Turn Your Love Around	52	66
1669	Sweet Dreams	45	70
1670	Only the Lonely	46	41
1671	Who Can It Be Now?	59	67
1672	Hold Me	40	81
1673	Eye in the Sky	64	62
1674	Let's Groove	19	75
1675	Open Arms	68	75
1676	Leader of the Band	59	55
1677	Leather and Lace	57	24
1678	Even the Nights Are Better	54	70
1679	'65 Love Affair	36	48
1680	Heat of the Moment	65	57
1681	Take It Easy on Me	36	62
1682	Pac-Man Fever	31	30
1683	That Girl	42	78
1684	Private Eyes	63	75
1685	Trouble	49	50
1686	Making Love	33	64
1687	Love's Been a Little Bit Hard on Me	6	50
1688	Young Turks	49	74
1689	Freeze-Frame	54	59
1690	Keep the Fire Burnin'	32	66
1691	Do You Believe in Love	53	64
1692	Cool Night	45	48
1693	Caught Up In You	64	60
1694	Why Do Fools Fall In Love?	26	67
1695	Love in the First Degree	43	64
1696	Hooked On Classics	31	68
1697	Wasted on the Way	40	64
1698	Think I'm in Love	50	60
1699	Love Is in Control (Finger on the Trigger)	27	64
1700	Personally	24	38
1701	Blue Eyes	51	81
1702	Our Lips Are Sealed	54	52
1703	You Could Have Been with Me	26	55
1704	You Can Do Magic	57	70
1705	Did It in a Minute	37	75
1706	I Ran (So Far Away)	56	60
1707	Oh No	39	66
1708	Take It Away	26	76
1709	It's Gonna Take a Miracle	27	55
1710	Love Will Turn You Around	42	67
1711	Comin' In and Out of Your Life	26	68
1712	Gloria	66	61
1713	Empty Garden (Hey Hey Johnny)	45	81
1714	Crimson and Clover	48	61
1715	Every Little Thing She Does Is Magic	63	76
1716	Here I Am	52	70
1717	I Keep Forgettin' (Every Time You're Near)	61	59
1718	Get Down on It	66	66
1719	Any Day Now	39	52
1720	Make a Move on Me	30	68
1721	Take My Heart (You Can Have It If You Want It)	37	66
1722	Mirror Mirror	14	67
1723	Vacation	47	52
1724	Oh, Pretty Woman	52	73
1725	Should I Do It	26	65
1726	Hot in the City	49	66
1727	Kids in America	52	59
1728	Man on Your Mind	39	62
1729	Waiting on a Friend	55	81
1730	Do I Do	50	78
1731	Working for the Weekend	65	57
1732	Through the Years	56	67
1733	Edge of Seventeen	66	65
1734	Every Breath You Take	74	76
1735	Billie Jean	82	86
1736	Flashdance... What a Feeling	47	62
1737	Down Under	73	67
1738	Beat It	77	86
1739	Total Eclipse of the Heart	74	69
1740	Maneater	74	75
1741	Maniac	66	61
1742	Sweet Dreams (Are Made of This)	81	71
1743	Do You Really Want to Hurt Me	62	66
1744	You and I	38	0
1745	Come On Eileen	71	66
1746	Shame on the Moon	47	68
1747	She Works Hard for the Money	55	64
1748	Never Gonna Let You Go	40	56
1749	Hungry Like the Wolf	70	69
1750	Let's Dance	9	82
